item_id,order_id,product_id,quantity,unit_price,discount_percent
I00153,O0280,P0224,3,544.72,90.85
I00154,O0120,P0254,2,4139.91,3.77
I00155,O0084,P0269,2,4178.75,93.54
I00156,O0242,P0373,2,3429.2,83.26
I00157,O0207,P0031,4,2893.81,53.03
I00158,O0457,P0311,2,1270.19,83.49
I00159,O0455,P0315,-4,1249.46,44.35
I00160,O0453,P0273,4,4049.36,26.21
I00161,O0175,P0165,4,168.07,65.9
I00162,O0095,P0168,4,4068.37,33.14
I00163,O0364,P0432,4,993.43,75.74
I00164,O0150,P0025,4,4783.03,75.24
I00165,O0036,P0497,3,580.2,51.13
I00166,O0066,P0425,5,2169.73,15.32
I00167,O0494,P0003,3,991.44,32.46
I00168,O0387,P0012,1,3483.29,19.67
I00169,O0128,P0325,2,1410.17,1.46
I00170,O0224,P0307,5,1244.84,95.04
I00171,O0345,P0208,5,4834.33,9.78
I00172,O0466,P0410,3,2208.82,51.6
I00173,O0424,P0126,5,2314.78,32.5
I00174,O0371,P0290,4,1656.38,70.24
I00175,O0144,P0379,1,2297.76,1.59
I00176,O0334,P0350,4,4856.06,70.05
I00177,O0016,P0147,1,1659.45,96.12
I00178,O0330,P0124,5,1489.67,76.32
I00179,O0172,P0297,2,4461.91,11.48
I00180,O0307,P0422,2,1685.35,2.48
I00181,O0129,P0455,3,640.9,8.21
I00182,O0417,P0142,2,278.68,69.42
I00183,O0205,P0132,5,3520.25,93.13
I00184,O0290,P0119,2,2665.64,61.95
I00185,O0164,P0380,1,1857.86,46.64
I00186,O0370,P0104,3,1259.18,34.72
I00187,O0050,P0499,5,862.26,2.58
I00188,O0270,P0058,3,3079.44,42.78
I00189,O0069,P0149,3,1116.04,31.22
I00190,O0405,P0206,5,1003.01,89.62
I00191,O0452,P0449,2,4160.86,23.09
I00192,O0454,P0101,3,1372.36,70.89
I00193,O0313,P0345,5,4421.9,66.3
I00194,O0065,P0324,5,1786.28,33.86
I00195,O0149,P0462,2,388.98,20.52
I00196,O0002,P0486,2,2720.86,52.89
I00197,O0313,P0149,3,4984.02,96.34
I00198,O0271,P0272,3,1948.91,41.08
I00199,O0140,P0022,3,4864.79,25.1
I00200,O0298,P0026,2,2083.37,82.03
I00201,O0259,P0013,2,3865.6,25.67
I00202,O0373,P0101,1,2203.71,51.04
I00203,O0112,P0090,2,1880.38,84.5
I00204,O0066,P0486,4,2054.24,42.56
I00205,O0355,P0110,2,3468.48,91.1
I00206,O0070,P0047,3,2225.9,33.54
I00207,O0350,P0474,4,4089.85,76.67
I00208,O0040,P0210,1,2677.99,35.92
I00209,O0216,P0153,4,3046.39,28.87
I00210,O0397,P0126,4,2464.96,86.65
I00211,O0156,P0345,1,3328.13,2.34
I00212,O0094,P0072,2,582.23,5.35
I00213,O0348,P0469,2,2811.34,50.28
I00214,O0391,P0143,1,3284.45,82.81
I00215,O0488,P0340,3,3787.35,73.87
I00216,O0117,P0182,1,3311.11,41.23
I00217,O0482,P0274,4,1250.79,38.92
I00218,O0283,P0113,1,2617.37,16.45
I00219,O0047,P0427,3,3900.69,79.89
I00220,O0119,P0242,1,3715.17,86.36
I00221,O0270,P0240,2,4581.87,13.89
I00222,O0303,P0176,3,1630.21,81.08
I00223,O0340,P0126,1,1787.59,67.73
I00224,O0246,P0076,4,4234.39,43.97
I00225,O0392,P0113,4,3662.36,95.03
I00226,O0006,P0291,3,3536.81,3.63
I00227,O0223,P0057,2,2809.13,9.98
I00228,O0196,P0364,4,908.86,36.79
I00229,O0245,P0155,1,2665.55,90.34
I00230,O0149,P0470,1,3192.49,94.57
I00231,O0371,P0472,5,3432.77,73.9
I00232,O0444,P0089,-5,3233.34,47.11
I00233,O0315,P0499,2,2463.84,2.58
I00234,O0347,P0228,4,986.27,72.38
I00235,O0214,P0456,1,1411.07,19.78
I00236,O0327,P0287,3,1214.05,45.63
I00237,O0159,P0400,5,4745.35,55.6
I00238,O0447,P0333,1,3706.82,27.45
I00239,O0312,P0410,1,2457.61,78.99
I00240,O0446,P0232,4,1952.01,91.55
I00241,O0048,P0397,4,383.13,38.95
I00242,O0065,P0293,4,1151.39,49.39
I00243,O0354,P0398,2,960.98,99.13
I00244,O0122,P0433,4,2390.37,21.5
I00245,O0398,P0048,2,539.64,76.27
I00246,O0059,P0211,4,745.32,26.6
I00247,O0468,P0426,1,2217.53,4.09
I00248,O0361,P0151,4,1198.2,85.71
I00249,O0108,P0322,5,4608.8,84.49
I00250,O0103,P0136,5,2550.47,47.83
I00251,O0389,P0391,2,3583.61,65.41
I00252,O0142,P0462,4,4271.01,67.12
I00253,O0106,P0427,2,3477.41,76.99
I00254,O0188,P0059,1,1727.13,15.42
I00255,O0048,P0204,2,4387.29,71.16
I00256,O0244,P0300,2,4941.5,9.71
I00257,O0299,P0114,3,3461.52,16.46
I00258,O0179,P0018,5,1973.17,28.01
I00259,O0123,P0115,3,1824.56,13.11
I00260,O0078,P0107,4,3490.65,62.0
I00261,O0290,P0089,1,571.41,19.76
I00262,O0264,P0036,4,1781.52,70.55
I00263,O0295,P0461,1,4067.06,88.56
I00264,O0325,P0055,4,3578.75,54.81
I00265,O0158,P0079,2,3361.28,22.74
I00266,O0269,P0410,5,4407.48,15.97
I00267,O0338,P0278,2,1329.38,5.06
I00268,O0315,P0361,2,2905.83,9.01
I00269,O0401,P0164,4,1130.41,40.33
I00270,O0367,P0467,4,638.86,38.3
I00271,O0499,P0102,4,399.47,42.41
I00272,O0011,P0154,5,798.53,60.38
I00273,O0410,P0363,3,3500.77,10.47
I00274,O0211,P0413,1,4761.42,31.06
I00275,O0230,P0075,-4,3178.71,26.1
I00276,O0150,P0081,5,2481.11,12.19
I00277,O0494,P0384,1,1008.74,98.78
I00278,O0202,P0366,1,127.53,43.2
I00279,O0074,P0322,3,1912.95,83.12
I00280,O0101,P0102,4,1224.22,15.28
I00281,O0287,P0462,3,3520.95,82.16
I00282,O0203,P0369,-3,4278.71,33.5
I00283,O0493,P0210,-3,998.74,40.04
I00284,O0406,P0049,3,1707.91,74.19
I00285,O0167,P0077,3,3168.34,21.62
I00286,O0295,P0309,5,234.12,81.47
I00287,O0395,P0302,4,2384.22,15.19
I00288,O0160,P0330,5,3869.7,15.57
I00289,O0180,P0178,1,3432.63,42.88
I00290,O0334,P0106,1,4562.47,2.18
I00291,O0323,P0231,4,1383.3,99.01
I00292,O0151,P0339,2,2832.99,12.51
I00293,O0367,P0330,3,3438.93,93.16
I00294,O0006,P0043,4,4165.12,14.31
I00295,O0124,P0043,4,3640.39,64.51
I00296,O0352,P0223,1,1522.86,60.34
I00297,O0049,P0108,4,2464.3,79.86
I00298,O0389,P0135,1,1241.97,92.85
I00299,O0284,P0237,2,816.66,26.09
I00300,O0407,P0447,5,669.58,76.57
I00301,O0123,P0380,2,2816.26,54.07
I00302,O0130,P0329,2,402.74,4.76
I00303,O0148,P0295,1,4818.13,63.01
I00304,O0293,P0128,5,771.73,16.65
I00305,O0325,P0460,4,4688.44,14.49
I00306,O0063,P0210,2,1735.21,90.38
I00307,O0252,P0067,3,1729.33,3.08
I00308,O0186,P0292,5,4900.96,4.28
I00309,O0199,P0430,2,3337.09,84.46
I00310,O0159,P0284,1,4199.12,54.99
I00311,O0072,P0104,2,3522.73,25.75
I00312,O0475,P0344,3,2045.32,77.66
I00313,O0331,P0407,1,2587.02,39.83
I00314,O0066,P0205,4,4679.57,84.08
I00315,O0161,P0289,-4,2094.92,68.2
I00316,O0041,P0011,5,1168.02,59.85
I00317,O0163,P0023,2,839.56,26.26
I00318,O0477,P0052,2,2036.29,34.43
I00319,O0211,P0078,4,344.23,55.08
I00320,O0026,P0158,-2,3970.3,31.83
I00321,O0416,P0137,1,4362.11,25.83
I00322,O0425,P0002,5,422.4,1.08
I00323,O0421,P0410,1,3930.65,68.9
I00324,O0256,P0475,4,4472.69,51.62
I00325,O0052,P0401,4,2424.45,33.87
I00326,O0076,P0115,5,4509.5,5.49
I00327,O0342,P0494,4,2102.96,22.36
I00328,O0200,P0184,3,1192.38,70.36
I00329,O0128,P0264,5,3472.95,21.85
I00330,O0230,P0223,3,4044.21,90.43
I00331,O0160,P0449,1,4651.15,18.02
I00332,O0071,P0034,1,728.97,90.24
I00333,O0007,P0398,3,3935.13,36.78
I00334,O0283,P0373,4,3479.69,41.05
I00335,O0183,P0304,-5,1661.72,52.29
I00336,O0378,P0269,4,280.15,92.68
I00337,O0280,P0245,4,745.41,7.37
I00338,O0063,P0397,3,1349.73,39.77
I00339,O0119,P0155,4,2560.58,79.97
I00340,O0317,P0371,3,2555.29,65.1
I00341,O0159,P0405,4,2188.49,32.02
I00342,O0099,P0147,3,3528.51,75.64
I00343,O0337,P0342,5,2269.36,88.56
I00344,O0369,P0403,5,3407.55,38.98
I00345,O0050,P0329,1,2363.52,72.65
I00346,O0084,P0203,2,4250.05,73.75
I00347,O0216,P0025,1,2640.26,99.51
I00348,O0255,P0471,2,1782.54,83.51
I00349,O0462,P0102,4,1130.75,42.81
I00350,O0243,P0065,1,513.55,98.99
I00351,O0413,P0185,1,2482.41,71.87
I00352,O0307,P0165,2,1907.26,15.12
I00353,O0471,P0202,4,952.37,45.67
I00354,O0114,P0445,1,3626.77,82.52
I00355,O0442,P0441,2,4403.79,96.24
I00356,O0190,P0340,5,3957.2,8.39
I00357,O0393,P0093,5,848.5,67.17
I00358,O0338,P0410,2,4865.95,77.15
I00359,O0024,P0453,3,4312.65,12.0
I00360,O0033,P0304,1,1323.05,73.18
I00361,O0018,P0257,2,1825.78,26.91
I00362,O0167,P0338,4,697.91,24.2
I00363,O0189,P0226,2,4163.06,21.01
I00364,O0266,P0336,4,1087.11,64.98
I00365,O0099,P0367,3,380.1,8.23
I00366,O0200,P0103,3,4471.85,65.28
I00367,O0376,P0012,1,4749.37,14.21
I00368,O0231,P0103,3,1200.55,49.19
I00369,O0120,P0180,2,701.81,58.37
I00370,O0268,P0193,5,1664.54,39.35
I00371,O0459,P0492,2,268.4,67.66
I00372,O0131,P0402,2,3961.53,53.32
I00373,O0231,P0225,4,2530.42,67.18
I00374,O0114,P0116,5,1794.23,0.44
I00375,O0333,P0155,5,1772.58,8.39
I00376,O0200,P0444,5,1152.79,65.02
I00377,O0362,P0032,2,491.33,9.89
I00378,O0225,P0128,1,4317.11,47.64
I00379,O0039,P0110,-5,853.87,0.45
I00380,O0064,P0130,3,225.18,49.16
I00381,O0485,P0487,3,4714.38,27.71
I00382,O0082,P0438,3,2200.87,88.26
I00383,O0085,P0085,4,2458.82,96.39
I00384,O0177,P0063,2,3945.01,0.25
I00385,O0097,P0254,3,1688.66,31.59
I00386,O0084,P0109,5,3018.08,27.65
I00387,O0384,P0430,1,591.41,68.54
I00388,O0357,P0375,3,1381.62,27.45
I00389,O0260,P0045,2,149.26,19.32
I00390,O0036,P0017,3,4658.57,24.99
I00391,O0304,P0004,2,4901.33,85.91
I00392,O0312,P0410,3,1633.96,86.41
I00393,O0464,P0082,1,654.03,68.78
I00394,O0243,P0305,3,3178.22,96.33
I00395,O0133,P0287,4,2957.74,74.81
I00396,O0483,P0302,2,2146.24,62.17
I00397,O0221,P0125,-3,1212.1,46.12
I00398,O0091,P0496,5,2739.37,43.19
I00399,O0254,P0102,1,4447.51,36.03
I00400,O0140,P0472,5,4239.89,11.01
I00401,O0230,P0026,4,4614.77,77.28
I00402,O0034,P0068,4,1881.06,39.73
I00403,O0131,P0358,2,614.58,89.98
I00404,O0174,P0058,5,4189.37,85.38
I00405,O0002,P0311,1,1003.15,17.34
I00406,O0500,P0367,3,2706.96,30.82
I00407,O0411,P0415,1,1359.8,13.87
I00408,O0240,P0239,1,3038.08,3.08
I00409,O0272,P0002,3,3962.13,62.9
I00410,O0288,P0293,5,966.9,13.75
I00411,O0327,P0359,4,2462.95,25.35
I00412,O0167,P0158,4,3296.41,70.21
I00413,O0208,P0262,3,3154.79,64.57
I00414,O0428,P0113,1,654.51,28.34
I00415,O0367,P0471,2,3423.02,73.43
I00416,O0226,P0162,1,1346.65,16.32
I00417,O0402,P0152,1,4298.14,63.79
I00418,O0078,P0162,5,304.03,92.39
I00419,O0401,P0357,4,4981.46,77.75
I00420,O0315,P0285,1,1976.68,78.67
I00421,O0356,P0048,2,1178.91,22.75
I00422,O0326,P0182,5,227.83,16.56
I00423,O0224,P0385,2,860.61,55.06
I00424,O0351,P0236,2,1241.22,92.65
I00425,O0496,P0202,5,2858.53,29.54
I00426,O0261,P0067,4,672.75,32.71
I00427,O0499,P0115,1,4123.11,96.34
I00428,O0500,P0337,3,1550.06,13.05
I00429,O0420,P0449,3,626.28,88.63
I00430,O0347,P0061,5,1292.55,81.4
I00431,O0346,P0043,5,4180.1,54.45
I00432,O0028,P0223,4,3408.67,14.26
I00433,O0488,P0047,1,2513.62,58.24
I00434,O0045,P0022,4,1839.46,9.61
I00435,O0151,P0131,4,122.97,54.25
I00436,O0332,P0240,1,151.14,74.93
I00437,O0476,P0067,2,3095.38,32.22
I00438,O0136,P0159,3,1919.02,64.05
I00439,O0075,P0470,1,440.74,92.47
I00440,O0478,P0271,3,1359.64,66.85
I00441,O0139,P0146,2,4395.91,46.53
I00442,O0400,P0293,1,695.18,28.69
I00443,O0255,P0337,5,1898.23,1.84
I00444,O0057,P0143,2,2928.67,36.62
I00445,O0497,P0100,4,2386.46,71.71
I00446,O0058,P0436,5,3162.58,7.23
I00447,O0470,P0203,5,1357.22,98.54
I00448,O0323,P0432,3,2875.89,32.62
I00449,O0033,P0159,5,4297.23,25.0
I00450,O0186,P0101,3,3437.8,36.75
I00451,O0266,P0229,2,3508.42,37.94
I00452,O0374,P0045,4,639.73,14.1
I00453,O0161,P0460,4,805.32,11.28
I00454,O0379,P0237,1,2400.72,91.23
I00455,O0200,P0248,4,2302.56,89.52
I00456,O0336,P0326,2,3553.79,90.17
I00457,O0450,P0138,1,3685.28,59.4
I00458,O0227,P0188,1,2425.16,6.96
I00459,O0413,P0346,5,2949.94,70.08
I00460,O0296,P0317,4,3175.43,68.02
I00461,O0279,P0114,5,1826.41,29.51
I00462,O0247,P0020,4,147.03,71.33
I00463,O0102,P0167,1,3898.68,40.73
I00464,O0319,P0356,4,3965.8,95.38
I00465,O0010,P0079,3,4735.34,56.34
I00466,O0099,P0020,5,3683.4,54.69
I00467,O0131,P0003,5,2803.92,67.96
I00468,O0179,P0198,5,1758.16,98.21
I00469,O0048,P0318,2,2695.44,8.86
I00470,O0340,P0431,3,2760.58,31.85
I00471,O0400,P0446,5,1846.93,55.63
I00472,O0192,P0281,5,2487.34,13.94
I00473,O0152,P0378,5,1192.91,99.37
I00474,O0493,P0039,5,2315.39,1.39
I00475,O0147,P0086,2,1382.34,9.99
I00476,O0287,P0168,3,3899.71,18.64
I00477,O0227,P0295,4,2202.02,28.24
I00478,O0225,P0134,4,4415.95,14.17
I00479,O0071,P0181,2,2695.57,89.2
I00480,O0104,P0391,3,4285.01,41.57
I00481,O0155,P0124,1,4639.22,68.08
I00482,O0387,P0198,2,495.9,54.1
I00483,O0449,P0305,2,3550.8,37.96
I00484,O0283,P0393,1,3117.89,20.81
I00485,O0450,P0103,3,2246.84,29.25
I00486,O0087,P0067,1,4458.51,94.51
I00487,O0423,P0481,3,4748.51,10.57
I00488,O0457,P0172,2,873.18,31.02
I00489,O0410,P0025,5,3528.74,0.71
I00490,O0019,P0147,5,2371.09,81.12
I00491,O0069,P0015,5,819.27,51.8
I00492,O0245,P0271,3,4522.5,7.76
I00493,O0111,P0330,4,1440.27,7.44
I00494,O0215,P0377,4,701.08,50.01
I00495,O0062,P0245,2,4425.76,69.63
I00496,O0226,P0187,-4,3744.01,11.87
I00497,O0204,P0060,1,4211.71,80.0
I00498,O0348,P0324,4,3264.9,12.17
I00499,O0367,P0398,1,4724.1,19.8
I00500,O0191,P0172,1,2129.78,41.44
I00501,O0365,P0107,3,1133.58,93.73
I00502,O0074,P0147,5,4238.21,7.61
I00503,O0114,P0067,4,1753.78,96.53
I00504,O0207,P0409,3,3661.98,38.31
I00505,O0111,P0163,4,2158.87,72.55
I00506,O0105,P0159,4,865.32,32.55
I00507,O0064,P0246,1,4551.29,37.54
I00508,O0173,P0016,2,3968.36,5.37
I00509,O0069,P0192,1,3145.43,64.96
I00510,O0296,P0190,5,1322.82,27.16
I00511,O0060,P0478,2,1431.04,37.98
I00512,O0011,P0083,4,475.47,87.26
I00513,O0366,P0281,4,3750.76,21.63
I00514,O0045,P0373,4,4166.02,69.78
I00515,O0312,P0002,5,4497.83,11.82
I00516,O0468,P0065,5,188.13,92.33
I00517,O0424,P0366,2,1329.6,31.56
I00518,O0451,P0051,4,2244.53,3.33
I00519,O0327,P0465,2,4100.44,7.48
I00520,O0063,P0181,3,3789.62,55.74
I00521,O0237,P0165,4,4801.29,54.49
I00522,O0070,P0487,-3,2257.4,3.44
I00523,O0036,P0281,3,4656.91,69.2
I00524,O0288,P0408,1,1520.57,25.66
I00525,O0372,P0165,1,3912.37,86.2
I00526,O0323,P0292,3,863.52,36.68
I00527,O0429,P0440,4,267.33,25.61
I00528,O0149,P0221,3,852.32,7.61
I00529,O0318,P0298,3,2625.71,71.97
I00530,O0413,P0044,4,4329.34,34.24
I00531,O0215,P0478,4,1282.74,69.48
I00532,O0499,P0450,2,2075.55,51.91
I00533,O0277,P0137,3,3597.85,99.47
I00534,O0124,P0205,4,638.1,97.52
I00535,O0149,P0268,4,3418.54,56.45
I00536,O0492,P0312,3,610.66,65.68
I00537,O0492,P0206,1,1693.12,80.41
I00538,O0335,P0197,2,1677.76,51.25
I00539,O0398,P0254,1,2120.58,14.64
I00540,O0319,P0254,3,3116.21,58.51
I00541,O0112,P0419,5,2282.96,5.68
I00542,O0379,P0195,-3,3971.78,91.64
I00543,O0048,P0319,1,1123.33,12.83
I00544,O0139,P0348,4,964.34,28.54
I00545,O0474,P0047,3,435.48,53.79
I00546,O0024,P0077,2,343.53,7.14
I00547,O0455,P0447,5,2702.95,47.06
I00548,O0174,P0001,2,1416.25,61.1
I00549,O0344,P0250,1,287.61,58.25
I00550,O0117,P0051,1,2022.67,24.49
I00551,O0254,P0327,2,1604.53,60.63
I00552,O0500,P0272,5,756.23,88.89
I00553,O0162,P0064,2,4162.47,30.65
I00554,O0296,P0201,5,3504.77,75.0
I00555,O0118,P0392,4,3711.29,16.73
I00556,O0037,P0489,5,654.56,83.22
I00557,O0084,P0194,5,1338.95,12.28
I00558,O0134,P0268,2,945.55,8.17
I00559,O0130,P0005,-4,4805.21,38.12
I00560,O0383,P0146,5,342.47,85.69
I00561,O0060,P0164,5,3568.68,21.22
I00562,O0353,P0217,1,3952.24,57.59
I00563,O0328,P0400,3,1776.13,89.06
I00564,O0283,P0192,4,4668.38,96.1
I00565,O0019,P0248,3,2622.56,25.59
I00566,O0204,P0167,3,1943.89,68.21
I00567,O0232,P0443,5,3503.53,65.43
I00568,O0400,P0378,3,991.96,22.89
I00569,O0063,P0216,3,3247.27,94.99
I00570,O0430,P0205,5,4844.26,45.42
I00571,O0184,P0082,2,3037.19,54.25
I00572,O0345,P0187,2,1987.95,1.56
I00573,O0474,P0260,3,4323.18,20.15
I00574,O0151,P0304,1,4438.18,72.05
I00575,O0002,P0427,2,1525.47,71.0
I00576,O0067,P0445,-2,1147.73,1.5
I00577,O0145,P0454,4,4825.56,10.64
I00578,O0310,P0166,4,934.84,14.35
I00579,O0147,P0388,1,4879.45,8.13
I00580,O0353,P0463,3,880.37,25.64
I00581,O0237,P0341,2,3431.26,56.96
I00582,O0483,P0296,3,3264.96,91.16
I00583,O0274,P0487,2,2324.08,28.42
I00584,O0105,P0259,3,2126.65,33.7
I00585,O0193,P0182,4,4892.92,92.69
I00586,O0114,P0432,3,1631.7,96.3
I00587,O0397,P0010,4,4516.09,55.93
I00588,O0142,P0216,5,1412.26,54.57
I00589,O0397,P0305,2,4935.96,60.3
I00590,O0267,P0399,4,1674.02,10.24
I00591,O0282,P0388,4,2217.17,8.97
I00592,O0370,P0404,5,3825.22,4.77
I00593,O0467,P0313,3,2213.92,77.02
I00594,O0079,P0306,2,3390.15,53.5
I00595,O0323,P0226,4,4748.69,16.56
I00596,O0352,P0344,5,1753.1,45.5
I00597,O0205,P0007,1,2669.68,78.72
I00598,O0038,P0110,3,4717.89,9.51
I00599,O0095,P0151,5,676.07,22.12
I00600,O0374,P0123,4,4984.81,37.39
I00601,O0282,P0036,5,2952.83,85.9
I00602,O0383,P0225,3,2268.49,63.58
I00603,O0220,P0259,3,3623.4,81.91
I00604,O0479,P0287,1,2513.31,10.36
I00605,O0492,P0193,1,2288.58,21.13
I00606,O0486,P0320,3,3344.48,59.63
I00607,O0391,P0040,2,2688.37,45.65
I00608,O0326,P0228,2,2060.27,83.17
I00609,O0426,P0486,3,3421.35,67.27
I00610,O0051,P0404,1,1225.58,59.7
