order_id,customer_id,order_date,status,region_code
O0078,C0489,2025-07-27 12:08:32,SHIPPED,West
O0079,C0466,2025-03-06 12:08:32,CANCELLED,South
O0080,C0457,2025-01-25 12:08:32,SHIPPED,East
O0081,C0095,2026-04-17 12:08:32,RETURNED,South
O0082,C0007,2026-01-08 12:08:32,PLACED,North
O0083,C0113,2025-09-27 12:08:32,RETURNED,North
O0084,C0397,2024-09-24 12:08:32,SHIPPED,North
O0085,C0281,2025-06-12 12:08:32,SHIPPED,West
O0086,,2025-05-07 12:08:32,SHIPPED,West
O0087,C0378,2025-06-08 12:08:32,PLACED,East
O0088,C0007,2025-08-08 12:08:32,SHIPPED,West
O0089,C0056,2024-11-11 12:08:32,RETURNED,North
O0090,C0049,2024-11-26 12:08:32,PLACED,West
O0091,C0219,2025-10-31 12:08:32,PLACED,South
O0092,C0487,2026-05-23 12:08:32,CANCELLED,East
O0093,C0300,2024-12-03 12:08:32,PLACED,East
O0094,C0405,2024-10-09 12:08:32,DELIVERED,North
O0095,C0276,2026-06-24 12:08:32,CANCELLED,South
O0096,C0182,2025-02-11 12:08:32,PLACED,East
O0097,C0216,2024-09-15 12:08:32,RETURNED,East
O0098,C0341,2025-07-22 12:08:32,CANCELLED,South
O0099,C0379,2026-03-02 12:08:32,RETURNED,North
O0100,C0486,2024-12-03 12:08:32,RETURNED,West
O0101,,2024-09-03 12:08:32,SHIPPED,South
O0102,C0345,2025-04-13 12:08:32,CANCELLED,East
O0103,C0061,2025-05-04 12:08:32,RETURNED,North
O0104,C0426,2024-10-08 12:08:32,CANCELLED,North
O0105,C0428,2025-03-25 12:08:32,DELIVERED,West
O0106,C0469,2025-06-11 12:08:32,PLACED,West
O0107,,2026-01-22 12:08:32,DELIVERED,South
O0108,C0426,2025-07-01 12:08:32,RETURNED,East
O0109,C0141,2025-10-17 12:08:32,RETURNED,North
O0110,C0220,2024-11-14 12:08:32,PLACED,North
O0111,C0167,2024-09-04 12:08:32,PLACED,North
O0112,C0286,2026-06-23 12:08:32,DELIVERED,South
O0113,C0124,2025-02-28 12:08:32,SHIPPED,North
O0114,C0338,2024-12-09 12:08:32,CANCELLED,West
O0115,C0265,2025-10-28 12:08:32,RETURNED,South
O0116,C0110,2025-09-01 12:08:32,SHIPPED,South
O0117,C0226,2025-11-26 12:08:32,PLACED,North
O0118,C0362,2025-03-14 12:08:32,PLACED,North
O0119,C0155,2026-06-18 12:08:32,SHIPPED,South
O0120,C0179,2025-08-08 12:08:32,SHIPPED,East
O0121,C0233,2025-02-23 12:08:32,PLACED,East
O0122,C0470,2025-10-16 12:08:32,RETURNED,South
O0123,C0122,2025-06-02 12:08:32,CANCELLED,East
O0124,C0058,2026-06-03 12:08:32,RETURNED,East
O0125,C0331,18-10-2024,SHIPPED,North
O0126,C0179,2025-08-31 12:08:32,RETURNED,East
O0127,C0326,2024-10-23 12:08:32,CANCELLED,North
O0128,C0395,2024-10-05 12:08:32,SHIPPED,West
O0129,C0223,2026-01-21 12:08:32,RETURNED,East
O0130,C0162,2025-04-30 12:08:32,PLACED,South
O0131,C0442,2024-09-09 12:08:32,RETURNED,North
O0132,C0266,2026-04-06 12:08:32,CANCELLED,West
O0133,C0086,2026-04-15 12:08:32,CANCELLED,South
O0134,C0120,2025-10-23 12:08:32,RETURNED,West
O0135,C0404,2025-07-23 12:08:32,PLACED,North
O0136,C0310,2025-08-12 12:08:32,CANCELLED,West
O0137,C0461,2025-11-18 12:08:32,SHIPPED,West
O0138,C0296,2026-02-18 12:08:32,SHIPPED,West
O0139,C0390,2024-10-19 12:08:32,DELIVERED,West
O0140,C0156,01-10-2024,RETURNED,West
O0141,C0264,2025-04-28 12:08:32,PLACED,West
O0142,C0412,2026-07-01 12:08:32,CANCELLED,South
O0143,C0107,2024-07-24 12:08:32,CANCELLED,West
O0144,,2025-01-25 12:08:32,RETURNED,West
O0145,C0278,2025-06-21 12:08:32,DELIVERED,East
O0146,C0168,2026-07-02 12:08:32,DELIVERED,South
O0147,C0345,2026-02-09 12:08:32,CANCELLED,East
O0148,C0147,2026-04-06 12:08:32,SHIPPED,East
O0149,C0019,2025-11-21 12:08:32,DELIVERED,North
O0150,C0030,2025-02-28 12:08:32,CANCELLED,West
O0151,C0183,14-08-2024,PLACED,East
O0152,C0177,2025-05-08 12:08:32,SHIPPED,South
O0153,C0051,2025-11-07 12:08:32,SHIPPED,North
O0154,C0258,2025-11-14 12:08:32,CANCELLED,North
O0155,C0111,2025-02-09 12:08:32,SHIPPED,South
O0156,C0449,2025-05-11 12:08:32,RETURNED,South
O0157,C0482,2025-10-07 12:08:32,RETURNED,South
O0158,C0221,2025-05-03 12:08:32,SHIPPED,North
O0159,C0104,2026-07-08 12:08:32,DELIVERED,West
O0160,C0333,2024-11-15 12:08:32,DELIVERED,East
O0161,C0388,2025-03-30 12:08:32,RETURNED,West
O0162,C0020,2026-02-06 12:08:32,CANCELLED,West
O0163,C0292,2025-09-28 12:08:32,RETURNED,South
O0164,C0347,2026-06-17 12:08:32,RETURNED,West
O0165,C0064,2026-01-16 12:08:32,PLACED,North
O0166,C0354,2026-03-12 12:08:32,DELIVERED,West
O0167,C0138,2025-07-17 12:08:32,PLACED,North
O0168,C0394,2024-11-11 12:08:32,SHIPPED,South
O0169,C0183,2026-05-30 12:08:32,CANCELLED,East
O0170,C0029,2026-04-08 12:08:32,PLACED,South
O0171,C0014,2024-12-09 12:08:32,RETURNED,East
O0172,C0216,2024-11-28 12:08:32,DELIVERED,North
O0173,C0071,2026-06-03 12:08:32,PLACED,East
O0174,C0192,2024-11-04 12:08:32,SHIPPED,South
O0175,C0409,2025-08-16 12:08:32,PLACED,East
O0176,C0260,2026-05-21 12:08:32,SHIPPED,South
O0177,C0201,2025-12-13 12:08:32,SHIPPED,West
O0178,C0449,2025-11-24 12:08:32,CANCELLED,West
O0179,C0465,2025-11-05 12:08:32,RETURNED,South
O0180,C0105,2025-02-02 12:08:32,RETURNED,East
O0181,C0186,2025-04-30 12:08:32,CANCELLED,North
O0182,C0283,2025-10-27 12:08:32,DELIVERED,North
O0183,C0255,2024-12-10 12:08:32,CANCELLED,East
O0184,C0215,2025-10-01 12:08:32,DELIVERED,East
O0185,,2025-03-06 12:08:32,SHIPPED,North
O0186,C0433,2026-06-26 12:08:32,DELIVERED,East
O0187,C0381,2025-12-26 12:08:32,RETURNED,West
O0188,C0185,2026-01-30 12:08:32,RETURNED,East
O0189,C0328,2024-09-22 12:08:32,PLACED,East
O0190,C0212,2025-01-06 12:08:32,SHIPPED,South
O0191,C0297,2025-06-10 12:08:32,DELIVERED,West
O0192,C0119,2025-02-28 12:08:32,PLACED,North
O0193,C0182,2026-04-21 12:08:32,CANCELLED,South
O0194,C0303,2024-10-12 12:08:32,RETURNED,South
O0195,C0324,2025-04-03 12:08:32,RETURNED,North
O0196,,2026-06-21 12:08:32,RETURNED,West
O0197,C0377,2025-07-22 12:08:32,RETURNED,West
O0198,C0022,2025-10-01 12:08:32,RETURNED,South
O0199,C0367,2025-01-11 12:08:32,SHIPPED,South
O0200,C0113,2025-07-06 12:08:32,DELIVERED,North
O0201,,11-04-2026,CANCELLED,East
O0202,C0126,2025-12-30 12:08:32,DELIVERED,West
O0203,C0358,2025-08-02 12:08:32,RETURNED,South
O0204,C0299,2024-08-03 12:08:32,DELIVERED,West
O0205,C0203,2025-10-10 12:08:32,DELIVERED,East
O0206,C0295,2026-04-15 12:08:32,CANCELLED,West
O0207,C0309,2025-04-20 12:08:32,CANCELLED,East
O0208,C0113,2025-07-26 12:08:32,RETURNED,East
O0209,C0247,2025-02-17 12:08:32,DELIVERED,South
O0210,C0046,2024-10-31 12:08:32,RETURNED,East
O0211,C0131,2026-05-29 12:08:32,RETURNED,South
O0212,C0168,2025-05-31 12:08:32,RETURNED,West
O0213,C0412,2024-09-01 12:08:32,PLACED,West
O0214,C0369,2025-11-27 12:08:32,RETURNED,North
O0215,C0334,2025-04-05 12:08:32,RETURNED,West
O0216,C0247,2024-12-27 12:08:32,DELIVERED,East
O0217,C0126,2025-05-02 12:08:32,RETURNED,East
O0218,C0145,2025-10-29 12:08:32,PLACED,East
O0219,C0400,2025-10-01 12:08:32,SHIPPED,South
O0220,C0291,2024-11-17 12:08:32,DELIVERED,West
O0221,C0490,2026-04-23 12:08:32,SHIPPED,East
O0222,C0208,28-07-2024,CANCELLED,North
O0223,C0179,2025-02-21 12:08:32,RETURNED,East
O0224,C0445,2025-09-10 12:08:32,DELIVERED,East
O0225,C0439,2026-02-28 12:08:32,CANCELLED,West
O0226,C0274,2024-11-06 12:08:32,DELIVERED,North
O0227,C0170,2024-12-30 12:08:32,RETURNED,East
O0228,C0229,2026-03-14 12:08:32,PLACED,East
O0229,C0482,2025-09-30 12:08:32,RETURNED,West
O0230,C0467,2026-02-07 12:08:32,CANCELLED,South
O0231,C0405,2026-03-08 12:08:32,PLACED,North
O0232,,2026-01-10 12:08:32,RETURNED,East
O0233,C0222,2026-01-06 12:08:32,DELIVERED,South
O0234,C0056,2025-07-22 12:08:32,PLACED,North
O0235,C0151,2025-11-15 12:08:32,CANCELLED,South
O0236,C0329,22-05-2025,SHIPPED,West
O0237,C0045,2024-08-10 12:08:32,DELIVERED,North
O0238,C0356,2024-07-14 12:08:32,PLACED,West
O0239,C0263,2026-01-08 12:08:32,DELIVERED,North
O0240,C0178,2024-07-31 12:08:32,SHIPPED,East
O0241,C0499,2025-12-01 12:08:32,RETURNED,West
O0242,C0148,2025-03-01 12:08:32,PLACED,West
O0243,C0486,2026-01-05 12:08:32,SHIPPED,North
O0244,C0211,2026-07-02 12:08:32,RETURNED,South
O0245,C0296,2025-02-27 12:08:32,SHIPPED,East
O0246,,20-12-2024,RETURNED,North
O0247,C0026,2025-05-06 12:08:32,PLACED,East
O0248,,03-06-2026,SHIPPED,South
O0249,C0255,2026-03-22 12:08:32,CANCELLED,West
O0250,C0135,2024-11-28 12:08:32,SHIPPED,West
O0251,C0464,2025-06-30 12:08:32,SHIPPED,North
O0252,C0365,2025-09-16 12:08:32,CANCELLED,North
O0253,C0345,2025-09-02 12:08:32,PLACED,East
O0254,C0169,2026-01-21 12:08:32,RETURNED,East
O0255,C0295,2026-03-13 12:08:32,RETURNED,South
O0256,C0310,2025-03-26 12:08:32,PLACED,South
O0257,C0133,2025-04-27 12:08:32,PLACED,South
O0258,C0075,2026-02-07 12:08:32,DELIVERED,West
O0259,C0241,2026-05-03 12:08:32,DELIVERED,West
O0260,C0024,2026-03-15 12:08:32,PLACED,South
O0261,C0469,2024-09-30 12:08:32,PLACED,West
O0262,C0056,2024-11-27 12:08:32,DELIVERED,North
O0263,C0033,2025-06-04 12:08:32,DELIVERED,East
O0264,C0373,2025-10-05 12:08:32,PLACED,South
O0265,C0248,04-02-2025,RETURNED,North
O0266,C0288,2025-12-22 12:08:32,PLACED,West
O0267,C0217,10-12-2024,PLACED,South
O0268,C0040,2025-04-15 12:08:32,SHIPPED,East
O0269,C0225,2025-02-24 12:08:32,CANCELLED,South
O0270,C0242,2026-03-04 12:08:32,DELIVERED,West
O0271,C0092,17-08-2024,SHIPPED,South
O0272,C0393,10-10-2025,PLACED,South
O0273,C0047,2025-05-06 12:08:32,SHIPPED,South
O0274,C0103,2026-04-16 12:08:32,DELIVERED,East
O0275,C0251,2025-04-07 12:08:32,RETURNED,North
O0276,C0471,2026-04-21 12:08:32,PLACED,North
O0277,C0470,2025-12-21 12:08:32,RETURNED,East
O0278,C0447,2024-09-09 12:08:32,DELIVERED,East
O0279,C0180,2026-06-28 12:08:32,SHIPPED,West
O0280,C0342,2025-10-24 12:08:32,PLACED,South
O0281,C0305,27-12-2025,CANCELLED,West
O0282,C0141,2026-06-24 12:08:32,SHIPPED,West
O0283,C0080,2026-04-30 12:08:32,RETURNED,West
O0284,C0497,2025-04-26 12:08:32,PLACED,East
O0285,C0430,2026-01-24 12:08:32,PLACED,West
O0286,C0032,2024-08-21 12:08:32,DELIVERED,North
O0287,C0172,2024-08-11 12:08:32,PLACED,East
O0288,C0484,2025-07-18 12:08:32,CANCELLED,East
O0289,C0419,2025-01-31 12:08:32,RETURNED,North
O0290,C0170,2026-06-23 12:08:32,PLACED,South
O0291,C0069,2025-04-01 12:08:32,PLACED,North
O0292,C0317,2024-12-10 12:08:32,CANCELLED,North
O0293,C0017,2025-03-29 12:08:32,PLACED,West
O0294,C0294,2025-10-24 12:08:32,CANCELLED,North
O0295,C0028,2026-01-26 12:08:32,SHIPPED,East
O0296,C0035,2025-08-09 12:08:32,PLACED,South
O0297,C0371,2024-12-17 12:08:32,SHIPPED,East
O0298,C0154,2026-02-02 12:08:32,PLACED,North
O0299,C0034,2025-03-30 12:08:32,PLACED,South
O0300,C0039,2026-06-06 12:08:32,RETURNED,North
O0301,C0196,07-01-2026,RETURNED,East
O0302,C0409,2025-08-02 12:08:32,RETURNED,East
O0303,C0247,2025-08-02 12:08:32,CANCELLED,West
O0304,C0484,2026-01-05 12:08:32,RETURNED,North
O0305,C0297,2025-08-27 12:08:32,PLACED,North
O0306,C0296,2025-08-11 12:08:32,PLACED,South
O0307,C0123,2025-02-10 12:08:32,CANCELLED,South
O0308,C0128,2025-02-15 12:08:32,DELIVERED,South
O0309,C0486,2024-10-16 12:08:32,DELIVERED,East
O0310,C0455,2025-03-08 12:08:32,DELIVERED,East
O0311,C0372,2026-07-08 12:08:32,RETURNED,North
O0312,C0107,2025-04-30 12:08:32,DELIVERED,West
O0313,C0038,2025-05-12 12:08:32,SHIPPED,East
O0314,C0121,2025-12-25 12:08:32,SHIPPED,West
O0315,C0131,2025-02-20 12:08:32,DELIVERED,South
O0316,C0243,2025-12-02 12:08:32,CANCELLED,South
O0317,C0464,2026-03-15 12:08:32,DELIVERED,North
O0318,C0324,2025-06-29 12:08:32,RETURNED,East
O0319,C0015,17-05-2026,SHIPPED,North
O0320,C0122,2025-02-18 12:08:32,CANCELLED,East
O0321,C0494,2025-04-01 12:08:32,PLACED,South
O0322,C0173,2024-08-28 12:08:32,DELIVERED,North
O0323,C0071,2025-01-11 12:08:32,SHIPPED,South
O0324,C0107,2026-01-26 12:08:32,PLACED,East
O0325,C0063,04-08-2025,SHIPPED,West
O0326,C0428,2024-07-20 12:08:32,SHIPPED,North
O0327,C0046,2024-10-19 12:08:32,DELIVERED,North
O0328,C0457,2025-09-27 12:08:32,CANCELLED,North
O0329,C0361,2025-09-25 12:08:32,PLACED,North
O0330,C0413,08-03-2026,SHIPPED,South
O0331,C0219,2026-07-03 12:08:32,CANCELLED,East
O0332,C0328,2025-10-05 12:08:32,PLACED,South
O0333,C0017,2025-11-19 12:08:32,PLACED,South
O0334,C0402,2024-09-05 12:08:32,CANCELLED,East
O0335,C0410,2026-06-29 12:08:32,DELIVERED,South
O0336,C0328,2025-09-08 12:08:32,SHIPPED,East
O0337,C0338,2025-03-17 12:08:32,SHIPPED,East
O0338,C0198,2025-07-16 12:08:32,DELIVERED,North
O0339,C0255,2024-12-25 12:08:32,SHIPPED,East
O0340,C0420,2026-01-09 12:08:32,SHIPPED,North
O0341,C0415,2025-09-17 12:08:32,DELIVERED,South
O0342,C0138,12-11-2024,RETURNED,North
O0343,C0360,2026-04-01 12:08:32,CANCELLED,South
O0344,C0135,2025-05-29 12:08:32,CANCELLED,South
O0345,C0196,2026-06-11 12:08:32,SHIPPED,East
O0346,C0023,2025-06-08 12:08:32,PLACED,West
O0347,C0164,2025-03-03 12:08:32,PLACED,North
O0348,C0324,2024-09-04 12:08:32,DELIVERED,East
O0349,C0474,2026-05-08 12:08:32,SHIPPED,West
O0350,C0487,2026-01-01 12:08:32,PLACED,East
O0351,C0412,2025-11-09 12:08:32,PLACED,North
O0352,C0412,2024-12-16 12:08:32,PLACED,North
O0353,C0312,2025-06-02 12:08:32,RETURNED,East
O0354,C0445,2024-11-09 12:08:32,RETURNED,South
O0355,C0424,2026-04-26 12:08:32,DELIVERED,South
O0356,C0477,2024-08-18 12:08:32,PLACED,East
O0357,C0386,2024-11-22 12:08:32,SHIPPED,South
O0358,C0419,2024-08-12 12:08:32,RETURNED,South
O0359,,2025-06-03 12:08:32,PLACED,East
O0360,C0133,2025-10-30 12:08:32,PLACED,East
O0361,,2026-01-16 12:08:32,PLACED,South
O0362,C0360,2025-08-27 12:08:32,DELIVERED,North
O0363,C0080,2025-10-29 12:08:32,PLACED,West
O0364,C0045,2024-07-17 12:08:32,CANCELLED,East
O0365,C0306,2025-10-20 12:08:32,SHIPPED,West
O0366,C0022,29-01-2026,CANCELLED,West
O0367,C0418,2024-07-12 12:08:32,RETURNED,West
O0368,C0483,2025-04-12 12:08:32,SHIPPED,North
O0369,C0366,2024-10-28 12:08:32,DELIVERED,East
O0370,C0397,2026-02-28 12:08:32,CANCELLED,West
O0371,C0196,2026-06-17 12:08:32,CANCELLED,East
O0372,C0297,27-06-2025,RETURNED,East
O0373,C0267,2025-11-18 12:08:32,CANCELLED,East
O0374,C0298,2024-10-02 12:08:32,RETURNED,West
O0375,C0157,2025-02-27 12:08:32,RETURNED,West
O0376,C0094,2024-10-13 12:08:32,PLACED,East
O0377,C0472,2024-10-28 12:08:32,RETURNED,North
O0378,C0211,2024-08-18 12:08:32,DELIVERED,East
O0379,,2025-02-01 12:08:32,RETURNED,West
O0380,C0049,2025-06-21 12:08:32,RETURNED,South
O0381,C0370,2026-07-01 12:08:32,SHIPPED,North
O0382,C0452,2026-03-22 12:08:32,PLACED,South
O0383,C0226,2025-06-18 12:08:32,CANCELLED,East
O0384,,2025-09-01 12:08:32,DELIVERED,West
O0385,C0097,2024-09-11 12:08:32,RETURNED,South
O0386,C0156,2025-07-21 12:08:32,SHIPPED,West
O0387,C0384,2025-03-15 12:08:32,RETURNED,West
O0388,C0014,2025-03-01 12:08:32,DELIVERED,East
O0389,C0095,2025-12-07 12:08:32,PLACED,West
O0390,C0276,2024-12-23 12:08:32,DELIVERED,South
O0391,C0295,2025-04-18 12:08:32,DELIVERED,North
O0392,C0190,2025-03-13 12:08:32,DELIVERED,North
O0393,C0044,2025-03-21 12:08:32,CANCELLED,West
O0394,C0494,2026-04-10 12:08:32,RETURNED,East
O0395,C0254,2024-07-29 12:08:32,SHIPPED,East
O0396,,2024-07-28 12:08:32,RETURNED,North
O0397,C0031,2024-07-15 12:08:32,PLACED,South
O0398,,2024-11-02 12:08:32,CANCELLED,West
O0399,C0365,2025-06-06 12:08:32,DELIVERED,West
O0400,C0337,2026-03-24 12:08:32,PLACED,East
O0401,C0016,2025-06-23 12:08:32,RETURNED,West
O0402,C0082,2026-07-01 12:08:32,CANCELLED,South
O0403,C0204,2025-07-30 12:08:32,CANCELLED,North
O0404,C0036,2026-07-09 12:08:32,RETURNED,East
O0405,C0077,2025-01-25 12:08:32,CANCELLED,North
O0406,C0154,2024-10-11 12:08:32,SHIPPED,West
O0407,C0391,2025-11-05 12:08:32,PLACED,West
O0408,C0243,2025-07-23 12:08:32,RETURNED,West
O0409,C0168,2026-01-30 12:08:32,CANCELLED,South
O0410,C0151,2025-03-02 12:08:32,SHIPPED,West
O0411,C0315,2025-12-24 12:08:32,SHIPPED,West
O0412,C0245,2024-08-28 12:08:32,SHIPPED,North
O0413,C0189,2025-08-07 12:08:32,PLACED,West
O0414,C0450,2025-03-09 12:08:32,PLACED,South
O0415,C0486,2025-07-15 12:08:32,SHIPPED,South
O0416,C0233,2024-12-22 12:08:32,SHIPPED,North
O0417,C0360,2024-11-06 12:08:32,PLACED,East
O0418,C0411,2025-04-28 12:08:32,SHIPPED,East
O0419,C0285,2026-05-14 12:08:32,DELIVERED,North
O0420,C0081,2024-11-27 12:08:32,CANCELLED,North
O0421,C0281,2025-03-27 12:08:32,PLACED,South
O0422,C0338,2024-07-22 12:08:32,PLACED,South
O0423,C0367,2025-09-18 12:08:32,CANCELLED,East
O0424,C0365,2025-01-22 12:08:32,RETURNED,North
O0425,C0387,2025-01-24 12:08:32,SHIPPED,South
O0426,C0259,2024-11-12 12:08:32,RETURNED,South
O0427,C0020,2025-09-25 12:08:32,PLACED,South
O0428,C0182,2025-04-14 12:08:32,PLACED,South
O0429,C0344,2025-04-15 12:08:32,DELIVERED,East
O0430,,2025-11-20 12:08:32,PLACED,East
O0431,C0413,2025-07-06 12:08:32,CANCELLED,South
O0432,C0153,2024-08-05 12:08:32,DELIVERED,West
O0433,C0267,2024-08-02 12:08:32,SHIPPED,West
O0434,C0442,2026-02-28 12:08:32,CANCELLED,North
O0435,C0217,2026-03-11 12:08:32,CANCELLED,East
O0436,C0255,2025-08-04 12:08:32,RETURNED,East
O0437,C0250,2024-11-23 12:08:32,SHIPPED,North
O0438,C0181,2025-11-28 12:08:32,DELIVERED,South
O0439,C0297,2025-03-25 12:08:32,DELIVERED,South
O0440,C0267,2025-05-02 12:08:32,CANCELLED,North
O0441,C0285,2026-06-03 12:08:32,CANCELLED,East
O0442,,2025-03-03 12:08:32,SHIPPED,South
O0443,C0369,2025-10-05 12:08:32,PLACED,West
O0444,C0214,2025-12-01 12:08:32,RETURNED,North
O0445,C0285,2024-12-17 12:08:32,CANCELLED,North
O0446,C0257,2026-04-14 12:08:32,DELIVERED,East
O0447,C0326,2024-10-17 12:08:32,CANCELLED,North
O0448,C0482,2024-08-01 12:08:32,RETURNED,North
O0449,C0369,2026-03-13 12:08:32,SHIPPED,West
O0450,C0019,2026-02-24 12:08:32,PLACED,North
O0451,C0294,2025-12-20 12:08:32,SHIPPED,South
O0452,C0215,2024-10-25 12:08:32,PLACED,West
O0453,C0362,2025-07-19 12:08:32,CANCELLED,East
O0454,C0464,2025-01-22 12:08:32,CANCELLED,East
O0455,C0289,2025-10-16 12:08:32,SHIPPED,East
O0456,,2026-02-16 12:08:32,CANCELLED,South
O0457,C0041,2025-09-22 12:08:32,CANCELLED,North
O0458,C0372,2025-04-12 12:08:32,PLACED,West
O0459,C0214,2026-05-22 12:08:32,CANCELLED,South
O0460,C0415,2024-12-21 12:08:32,CANCELLED,North
O0461,C0055,2024-10-18 12:08:32,RETURNED,North
O0462,C0185,2026-02-21 12:08:32,RETURNED,East
O0463,C0417,2025-07-02 12:08:32,CANCELLED,West
O0464,C0024,2025-12-25 12:08:32,SHIPPED,East
O0465,C0189,2024-10-06 12:08:32,CANCELLED,West
O0466,C0458,2024-11-15 12:08:32,SHIPPED,West
O0467,,2026-01-08 12:08:32,PLACED,West
O0468,C0091,2025-07-16 12:08:32,PLACED,West
O0469,C0207,2025-04-04 12:08:32,SHIPPED,South
O0470,C0317,2026-07-07 12:08:32,CANCELLED,East
O0471,C0428,2026-02-11 12:08:32,SHIPPED,East
O0472,C0393,2026-03-10 12:08:32,RETURNED,South
O0473,C0229,2026-03-27 12:08:32,SHIPPED,East
O0474,C0013,2025-11-06 12:08:32,SHIPPED,East
O0475,C0209,2025-04-05 12:08:32,DELIVERED,North
O0476,C0223,2026-05-11 12:08:32,PLACED,West
O0477,C0139,2025-07-29 12:08:32,SHIPPED,East
O0478,C0352,2025-07-07 12:08:32,RETURNED,East
O0479,C0055,2025-10-17 12:08:32,SHIPPED,North
O0480,C0115,2024-12-03 12:08:32,PLACED,South
O0481,C0041,2025-07-23 12:08:32,DELIVERED,South
O0482,C0115,2025-11-28 12:08:32,PLACED,North
